epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00712,3.47831,4.17403,2.22385,0,0,0,0,3.68184,5.61655,2.44462,0.09901,1e-05,1e-05
2,5.37673,3.26277,4.42088,2.12441,0,0,0,0,3.47394,5.3693,2.38183,0.09703,2.99927e-05,2.99927e-05
3,6.57471,3.34,4.40052,2.20524,0,0,0,0,3.32021,5.28407,2.36232,0.09505,4.99512e-05,4.99512e-05
4,9.88754,3.44655,4.46435,2.199,0.00048,0.05556,0.00028,3e-05,3.35001,5.36867,2.32501,0.0930698,6.98462e-05,6.98462e-05
5,11.0504,3.39046,4.5537,2.28577,0.00095,0.11111,0.00055,0.00022,3.4302,5.4382,2.30472,0.0910896,8.96487e-05,8.96487e-05
6,12.4501,2.92361,3.86004,2.06382,0.00429,0.5,0.04526,0.02149,2.59627,3.36941,1.97605,0.0891093,0.00010933,0.00010933
7,20.1472,2.8047,2.95511,1.86586,0.2227,0.22222,0.19673,0.06473,2.44167,3.12138,1.79623,0.0871289,0.00012886,0.00012886
8,22.4222,2.01365,2.91845,1.54228,0.00619,0.72222,0.06712,0.02173,2.29562,3.09217,1.70277,0.0851482,0.000148212,0.000148212
9,24.029,2.21475,2.55102,1.48687,0.02405,0.61111,0.0576,0.02506,2.2625,2.72126,1.61217,0.0831674,0.000167356,0.000167356
10,25.6594,2.14704,2.32411,1.43166,0.09599,0.19504,0.10303,0.04148,2.37883,2.59256,1.71499,0.0811863,0.000186266,0.000186266
11,27.457,2.32781,2.37051,1.65225,0.13493,0.16667,0.04514,0.01321,2.39499,2.86692,1.74891,0.0792049,0.000204912,0.000204912
12,29.2672,2.06534,2.07946,1.50316,0.20412,0.27778,0.1491,0.05319,2.36893,2.75555,1.70131,0.0772233,0.000223269,0.000223269
13,30.7321,2.17953,2.03695,1.49066,0.36823,0.22222,0.2038,0.08024,2.331,2.44834,1.70617,0.0752413,0.00024131,0.00024131
14,35.056,2.02574,1.895,1.48001,0.29222,0.11111,0.15129,0.07407,2.30437,2.65091,1.77651,0.073259,0.000259008,0.000259008
15,37.0469,2.17557,1.8071,1.537,0.10249,0.16667,0.07337,0.03361,2.20602,2.82657,1.79689,0.0712763,0.000276338,0.000276338
16,38.6293,2.0572,1.86945,1.48587,0.21804,0.16667,0.15388,0.06831,2.26188,2.68867,1.69784,0.0692933,0.000293275,0.000293275
